BZHISTID;BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
10002;2106;Distretto di Mendrisio;21;7;10075;714496;728083;75268;88162;721000;81800;221;1614;608;561;2714496;2728083;1075268;1088162;2721000;1081800
10003;2105;Distretto di Lugano;21;7;30794;704392;727695;85236;111689;716000;101000;232;2227;790;701;2704392;2727695;1085236;1111689;2716000;1101000
10004;2104;Distretto di Locarno;21;7;55057;679075;716040;103633;140245;697500;112600;193;2862;1252;1255;2679075;2716040;1103633;1140245;2697500;1112600
10005;2103;Distretto di Leventina;21;7;47955;672484;717542;129186;160092;695000;153800;285;3153;1816;1912;2672484;2717542;1129186;1160092;2695000;1153800
10006;2102;Distretto di Blenio;21;7;36058;701992;727972;137168;165700;716300;150900;349;3400;1825;1894;2701992;2727972;1137168;1165700;2716300;1150900
10007;2101;Distretto di Bellinzona;21;7;22633;714029;732913;108218;128601;722300;117400;199;2725;993;989;2714029;2732913;1108218;1128601;2722300;1117400
10013;2308;District de Monthey;23;1;25678;548579;564572;108834;138332;560500;122000;371;3253;1292;1399;2548579;2564572;1108834;1138332;2560500;1122000
10016;1911;Bezirk Zurzach;19;3;13001;653961;674275;262096;274772;663900;268200;300;612;429;423;2653961;2674275;1262096;1274772;2663900;1268200
10017;1910;Bezirk Zofingen;19;3;14201;629249;649383;231361;244523;634200;236500;389;713;497;483;2629249;2649383;1231361;1244523;2634200;1236500
10018;1909;Bezirk Rheinfelden;19;3;11186;620698;641083;259078;271001;630800;267600;255;750;401;377;2620698;2641083;1259078;1271001;2630800;1267600
10019;1908;Bezirk Muri;19;3;13895;661726;674061;221173;244270;669000;233300;376;855;502;469;2661726;2674061;1221173;1244270;2669000;1233300
10020;1907;Bezirk Lenzburg;19;3;9810;650211;662055;236022;254892;656200;246500;345;713;462;448;2650211;2662055;1236022;1254892;2656200;1246500
10021;1906;Bezirk Laufenburg;19;3;15674;637807;655906;253219;271946;646100;262700;289;870;466;462;2637807;2655906;1253219;1271946;2646100;1262700
10022;1905;Bezirk Kulm;19;3;9727;644120;659133;230370;243289;652700;237400;432;872;579;573;2644120;2659133;1230370;1243289;2652700;1237400
10023;1904;Bezirk Brugg;19;3;14511;647205;661767;251308;268547;654700;258800;325;800;467;453;2647205;2661767;1251308;1268547;2654700;1258800
10024;1903;Bezirk Bremgarten;19;3;11747;658423;676827;237887;251434;667600;245000;346;741;486;474;2658423;2676827;1237887;1251434;2667600;1245000
10025;1902;Bezirk Baden;19;3;15309;658690;675607;247075;266682;665400;256100;325;859;464;438;2658690;2675607;1247075;1266682;2665400;1256100
10026;1901;Bezirk Aarau;19;3;10449;639584;653234;240057;257519;647100;248700;356;908;488;458;2639584;2653234;1240057;1257519;2647100;1248700
10029;2307;District de Martigny;23;1;26337;562048;588942;92198;120691;574800;107300;450;3540;1444;1427;2562048;2588942;1092198;1120691;2574800;1107300
10030;2306;Bezirk Leuk;23;1;33527;606919;624987;106619;143767;617400;127600;533;4190;2018;2192;2606919;2624987;1106619;1143767;2617400;1127600
10031;2305;District d'Hérens;23;1;46607;592702;613417;89268;137198;602100;104300;506;4356;2321;2419;2592702;2613417;1089268;1137198;2602100;1104300
10032;2304;Bezirk Goms;23;1;58920;637908;679787;128628;167428;659600;147600;867;4273;2444;2466;2637908;2679787;1128628;1167428;2659600;1147600
10033;2303;District d'Entremont;23;1;63297;566655;603834;78560;108038;583400;92700;628;4312;2301;2358;2566655;2603834;1078560;1108038;2583400;1092700
10034;2302;District de Conthey;23;1;23420;576220;594584;101000;129470;585400;121700;469;3334;1707;1765;2576220;2594584;1101000;1129470;2585400;1121700
10035;2301;Bezirk Brig;23;1;43419;633080;656165;105559;146566;644900;125700;649;4192;2157;2191;2633080;2656165;1105559;1146566;2644900;1125700
10040;2107;Distretto di Riviera;21;7;14560;712493;727489;123533;140011;720000;132200;244;2954;1409;1515;2712493;2727489;1123533;1140011;2720000;1132200
10042;2108;Distretto di Vallemaggia;21;7;56937;676209;705045;116223;150574;689900;133800;243;3270;1657;1721;2676209;2705045;1116223;1150574;2689900;1133800
10053;101;Bezirk Affoltern;1;4;11303;671863;686463;229137;245396;678300;235900;380;915;561;557;2671863;2686463;1229137;1245396;2678300;1235900
10054;1501;Bezirk Hinterland;15;5;13616;732375;745548;234615;251775;739000;244000;588;2501;963;914;2732375;2745548;1234615;1251775;2739000;1244000
10057;1503;Bezirk Vorderland;15;5;4641;751877;765346;251659;259712;755200;254600;431;1129;822;831;2751877;2765346;1251659;1259712;2755200;1254600
10058;503;Bezirk Höfe;5;6;3760;694121;703789;222918;230979;698600;226700;404;1205;679;671;2694121;2703789;1222918;1230979;2698600;1226700
10059;502;Bezirk Gersau;5;6;1436;678715;685262;204687;209111;682800;206600;433;1698;971;988;2678715;2685262;1204687;1209111;2682800;1206600
10060;501;Bezirk Einsiedeln;5;6;9893;694483;709972;213304;226109;698300;220000;783;1614;1060;1012;2694483;2709972;1213304;1226109;2698300;1220000
10061;400;Uri (KT);4;6;105732;673345;715796;153451;204752;690900;180400;429;3629;1927;1990;2673345;2715796;1153451;1204752;2690900;1180400
10068;506;Bezirk Schwyz;5;6;49432;677980;716675;193657;221393;698600;207300;413;2800;1286;1275;2677980;2716675;1193657;1221393;2698600;1207300
10070;600;Obwalden (KT);6;6;48062;646045;681479;178345;203582;658500;184400;431;3238;1356;1382;2646045;2681479;1178345;1203582;2658500;1184400
10074;110;Bezirk Winterthur;1;4;25175;687929;712738;251095;272191;700800;262200;369;890;529;509;2687929;2712738;1251095;1272191;2700800;1262200
10075;109;Bezirk Uster;1;4;11223;686408;700228;236811;254014;696700;244100;426;845;502;481;2686408;2700228;1236811;1254014;2696700;1244100
10076;108;Bezirk Pfäffikon;1;4;16315;691821;713653;243859;258390;702700;249300;454;1073;635;626;2691821;2713653;1243859;1258390;2702700;1249300
10077;107;Bezirk Meilen;1;4;8462;685057;703423;232200;245507;689600;241000;405;853;559;547;2685057;2703423;1232200;1245507;2689600;1241000
10078;106;Bezirk Horgen;1;4;10424;680481;696577;223896;243312;688500;231800;404;1228;600;596;2680481;2696577;1223896;1243312;2688500;1231800
10079;105;Bezirk Hinwil;1;4;17950;697375;716900;233458;248312;707300;240300;439;1291;685;645;2697375;2716900;1233458;1248312;2707300;1240300
10080;104;Bezirk Dielsdorf;1;4;15285;669245;684519;252441;269583;676400;260000;332;866;484;462;2669245;2684519;1252441;1269583;2676400;1260000
10081;103;Bezirk Bülach;1;4;18488;676552;693524;250961;276522;684800;263000;330;692;466;451;2676552;2693524;1250961;1276522;2684800;1263000
10082;102;Bezirk Andelfingen;1;4;16654;684957;704389;264720;283343;693200;274000;342;695;438;427;2684957;2704389;1264720;1283343;2693200;1274000
10084;1105;Bezirk Gösgen;11;2;6867;629837;644453;244707;257027;637800;249000;363;991;582;561;2629837;2644453;1244707;1257027;2637800;1249000
10086;1406;Bezirk Unterklettgau;14;5;4661;672515;682346;276929;287127;674900;282400;389;642;484;481;2672515;2682346;1276929;1287127;2674900;1282400
10087;1405;Bezirk Stein;14;5;3097;699872;707983;278679;288416;704100;283600;393;685;461;430;2699872;2707983;1278679;1288416;2704100;1283600
10088;1404;Bezirk Schleitheim;14;5;4363;675847;684831;284259;293269;678000;289000;445;911;613;581;2675847;2684831;1284259;1293269;2678000;1289000
10089;1403;Bezirk Schaffhausen;14;5;10573;682371;695086;267448;295934;687400;286900;343;912;563;533;2682371;2695086;1267448;1295934;2687400;1286900
10090;1402;Bezirk Reiat;14;5;3933;689334;697701;283013;295142;693300;289300;391;705;531;517;2689334;2697701;1283013;1295142;2693300;1289300
10091;1401;Bezirk Oberklettgau;14;5;3188;676908;684642;279043;288362;680700;282300;393;869;514;482;2676908;2684642;1279043;1288362;2680700;1282300
10092;1301;Bezirk Arlesheim;13;3;9622;604463;617809;254898;268191;611100;259700;245;765;350;331;2604463;2617809;1254898;1268191;2611100;1259700
10093;1200;Basel-Stadt (KT);12;3;3695;608733;619191;263185;272279;611300;267500;244;522;294;273;2608733;2619191;1263185;1272279;2611300;1267500
10094;1110;Bezirk Thierstein;11;2;10227;595270;615546;242062;255060;609500;247900;326;1205;653;637;2595270;2615546;1242062;1255060;2609500;1247900
10095;1109;Bezirk Solothurn;11;2;628;605355;608612;227225;229927;606900;228600;424;500;439;433;2605355;2608612;1227225;1229927;2606900;1228600
10096;505;Bezirk March;5;6;17674;702737;718719;208678;230778;711200;221600;405;2294;947;941;2702737;2718719;1208678;1230778;2711200;1221600
10097;1107;Bezirk Lebern;11;2;11717;592561;613794;223174;236171;602600;230200;417;1445;706;579;2592561;2613794;1223174;1236171;2602600;1230200
10098;1502;Bezirk Mittelland;15;5;6027;743497;756531;245930;255666;751300;250400;566;1250;936;937;2743497;2756531;1245930;1255666;2751300;1250400
10099;1104;Bezirk Dorneck;11;2;7470;598658;620450;250941;261330;616100;255600;281;897;561;571;2598658;2620450;1250941;1261330;2616100;1255600
10100;1103;Bezirk Bucheggberg;11;2;6268;594769;606912;213703;228182;601600;220000;425;672;531;533;2594769;2606912;1213703;1228182;2601600;1220000
10101;1007;District de la Veveyse;10;2;13430;551832;567182;147221;164037;560200;155700;631;2013;1008;889;2551832;2567182;1147221;1164037;2560200;1155700
10102;1006;Bezirk Sense;10;2;26526;577550;595531;164948;194781;586600;181500;482;2238;880;757;2577550;2595531;1164948;1194781;2586600;1181500
10103;1005;Bezirk See / District du Lac;10;2;14483;569683;584560;187359;206220;577100;191500;422;671;518;524;2569683;2584560;1187359;1206220;2577100;1191500
10104;1004;District de la Sarine;10;2;21775;564515;583315;170436;188921;573600;179600;521;1528;705;683;2564515;2583315;1170436;1188921;2573600;1179600
10105;1003;District de la Gruyère;10;2;48984;561947;590964;143053;174420;583700;163900;607;2389;1175;1138;2561947;2590964;1143053;1174420;2583700;1163900
10106;1002;District de la Glâne;10;2;16867;550643;569555;158289;182250;560100;169400;521;1205;766;757;2550643;2569555;1158289;1182250;2560100;1169400
10107;1001;District de la Broye;10;2;17259;547264;570776;174242;197523;555700;185600;429;820;538;511;2547264;2570776;1174242;1197523;2555700;1185600
10108;900;Zug (KT);9;6;20715;672419;695750;215061;233506;683700;223600;386;1579;692;690;2672419;2695750;1215061;1233506;2683700;1223600
10109;800;Glarus (KT);8;5;68070;709274;738138;183890;225967;723700;204500;411;3610;1588;1600;2709274;2738138;1183890;1225967;2723700;1204500
10110;700;Nidwalden (KT);7;6;24135;659304;686449;180482;206269;673900;196300;432;2896;1163;1128;2659304;2686449;1180482;1206269;2673900;1196300
10111;1108;Bezirk Olten;11;2;8057;626820;644760;235132;249321;631300;241700;363;1122;502;447;2626820;2644760;1235132;1249321;2631300;1241700
10125;2309;Bezirk Raron;23;1;39816;619248;659117;118713;149776;628800;135600;626;4194;2097;2160;2619248;2659117;1118713;1149776;2628800;1135600
10177;2310;District de Saint-Maurice;23;1;19059;553842;572937;99148;122979;563900;109900;392;3254;1685;1886;2553842;2572937;1099148;1122979;2563900;1109900
10178;2311;District de Sierre;23;1;41837;597874;621452;97328;137520;609700;117900;493;4497;2027;2139;2597874;2621452;1097328;1137520;2609700;1117900
10179;2312;District de Sion;23;1;13066;581673;598968;114067;135984;594600;122900;477;3198;1575;1615;2581673;2598968;1114067;1135984;2594600;1122900
10180;2313;Bezirk Visp;23;1;86420;610566;646197;85106;140944;631200;104900;636;4632;2596;2688;2610566;2646197;1085106;1140944;2631200;1104900
10187;2500;Genève (CT);25;1;24580;485410;512974;109645;135578;492300;115900;331;517;426;425;2485410;2512974;1109645;1135578;2492300;1115900
10224;2601;District de Delémont;26;2;30318;576140;609051;237043;254368;591900;244400;383;1293;665;646;2576140;2609051;1237043;1254368;2591900;1244400
10225;2602;District des Franches-Montagnes;26;2;20023;554671;579696;222309;242815;568100;233200;443;1185;923;975;2554671;2579696;1222309;1242815;2568100;1233200
10226;2603;District de Porrentruy;26;2;33510;557722;585488;240328;261608;572800;251200;364;981;569;535;2557722;2585488;1240328;1261608;2572800;1251200
10228;112;Bezirk Zürich;1;4;8793;676225;689666;241584;254306;679500;249400;392;870;487;457;2676225;2689666;1241584;1254306;2679500;1249400
10229;111;Bezirk Dietikon;1;4;6011;669738;679230;241970;254508;674700;248700;379;799;483;476;2669738;2679230;1241970;1254508;2674700;1248700
10230;1101;Bezirk Gäu;11;2;6205;618619;630403;233968;243380;625200;238200;399;1033;502;452;2618619;2630403;1233968;1243380;2625200;1238200
10231;1102;Bezirk Thal;11;2;13939;598301;626451;232424;246879;614000;240200;471;1330;810;796;2598301;2626451;1232424;1246879;2614000;1240200
10232;1106;Bezirk Wasseramt;11;2;7667;605427;619880;221852;231006;612000;226300;419;596;463;459;2605427;2619880;1221852;1231006;2612000;1226300
10236;1302;Bezirk Laufen;13;3;8956;591443;614134;247622;257755;604900;252900;293;865;503;486;2591443;2614134;1247622;1257755;2604900;1252900
10237;1303;Bezirk Liestal;13;3;8586;617092;626687;251339;265471;621800;259000;254;757;424;426;2617092;2626687;1251339;1265471;2621800;1259000
10238;1304;Bezirk Sissach;13;3;14104;625363;639481;247112;265027;632100;256000;334;1001;562;564;2625363;2639481;1247112;1265027;2632100;1256000
10240;1305;Bezirk Waldenburg;13;3;10499;614650;630616;243060;254962;623300;248900;389;1168;699;680;2614650;2630616;1243060;1254962;2623300;1248900
10252;1600;Appenzell Innerrhoden (KT);16;5;17248;741442;764416;233274;257039;748500;241500;540;2502;1129;1029;2741442;2764416;1233274;1257039;2748500;1241500
10264;1727;Wahlkreis Toggenburg;17;5;48859;713649;748651;223061;256076;729700;238900;521;2501;999;907;2713649;2748651;1223061;1256076;2729700;1238900
10265;1722;Wahlkreis Rorschach;17;5;5045;745564;761628;256279;263669;751200;260000;392;899;510;491;2745564;2761628;1256279;1263669;2751200;1260000
10266;1721;Wahlkreis St. Gallen;17;5;15767;733811;757775;251007;266282;742800;256800;450;1074;670;653;2733811;2757775;1251007;1266282;2742800;1256800
10267;1724;Wahlkreis Werdenberg;17;5;20651;742483;758284;214560;238919;751800;225900;426;2383;993;877;2742483;2758284;1214560;1238919;2751800;1225900
10268;1728;Wahlkreis Wil;17;5;14524;717951;736250;245594;262913;728600;256100;470;1060;606;583;2717951;2736250;1245594;1262913;2728600;1256100
10269;1725;Wahlkreis Sarganserland;17;5;51774;729149;760298;193269;224325;745200;208800;419;3234;1493;1549;2729149;2760298;1193269;1224325;2745200;1208800
10270;1726;Wahlkreis See-Gaster;17;5;24586;702742;736398;221154;242100;720500;230300;392;2101;822;751;2702742;2736398;1221154;1242100;2720500;1230300
10271;1723;Wahlkreis Rheintal;17;5;13894;754722;768769;237425;261716;761100;248100;395;1794;531;425;2754722;2768769;1237425;1261716;2761100;1248100
10272;504;Bezirk Küssnacht (SZ);5;6;2939;672167;679650;211331;218653;677700;214900;414;1797;641;541;2672167;2679650;1211331;1218653;2677700;1214900
10273;2221;District d'Aigle;22;1;43499;555406;583943;115149;143632;570300;130400;370;3209;1333;1419;2555406;2583943;1115149;1143632;2570300;1130400
10274;2222;District de la Broye-Vully;22;1;25801;544158;573697;159120;203493;555000;171300;429;927;577;543;2544158;2573697;1159120;1203493;2555000;1171300
10275;2223;District du Gros-de-Vaud;22;1;23220;528717;551675;156947;177224;539900;166900;394;916;659;647;2528717;2551675;1156947;1177224;2539900;1166900
10276;2224;District du Jura-Nord vaudois;22;1;70099;498191;551074;153188;198584;527600;176600;427;1650;890;906;2498191;2551074;1153188;1198584;2527600;1176600
10277;2225;District de Lausanne;22;1;6514;533834;544978;150655;161555;539400;154900;372;930;672;668;2533834;2544978;1150655;1161555;2539400;1154900
10278;2226;District de Lavaux-Oron;22;1;14002;538654;558873;146951;163356;548500;154500;371;986;711;719;2538654;2558873;1146951;1163356;2548500;1154500
10279;2227;District de Morges;22;1;37307;507955;533557;145815;171529;521500;158200;371;1679;704;628;2507955;2533557;1145815;1171529;2521500;1158200
10280;2228;District de Nyon;22;1;30736;494306;518659;127832;155695;504800;144300;369;1677;852;776;2494306;2518659;1127832;1155695;2504800;1144300
10281;2229;District de l'Ouest lausannois;22;1;2634;530091;536651;151029;159629;533300;154900;372;612;443;426;2530091;2536651;1151029;1159629;2533300;1154900
10282;2230;District de la Riviera-Pays-d'Enhaut;22;1;28292;550752;585462;136032;155886;576700;143900;371;2547;1281;1318;2550752;2585462;1136032;1155886;2576700;1143900
10283;241;Arrondissement administratif Jura bernois;2;2;54173;556241;610093;212142;243835;580400;227800;429;1607;964;968;2556241;2610093;1212142;1243835;2580400;1227800
10284;242;Verwaltungskreis Biel/Bienne;2;2;9757;575752;596458;211567;228480;587300;220800;422;1197;539;464;2575752;2596458;1211567;1228480;2587300;1220800
10285;243;Verwaltungskreis Seeland;2;2;33676;568553;604429;202124;226634;587500;211800;424;821;492;472;2568553;2604429;1202124;1226634;2587500;1211800
10286;244;Verwaltungskreis Oberaargau;2;2;33083;610705;634286;210714;238152;624100;225600;399;1232;586;550;2610705;2634286;1210714;1238152;2624100;1225600
10287;245;Verwaltungskreis Emmental;2;2;69041;605003;639362;181694;224162;622800;204100;451;2197;805;787;2605003;2639362;1181694;1224162;2622800;1204100
10288;246;Verwaltungskreis Bern-Mittelland;2;2;94346;572871;622384;168849;219080;601800;193800;449;2188;750;672;2572871;2622384;1168849;1219080;2601800;1193800
10289;247;Verwaltungskreis Thun;2;2;32197;601204;632773;169610;187310;609000;176600;535;2189;942;896;2601204;2632773;1169610;1187310;2609000;1176600
10290;248;Verwaltungskreis Obersimmental-Saanen;2;2;57488;581085;608971;130585;167180;594000;147300;794;3247;1658;1619;2581085;2608971;1130585;1167180;2594000;1147300
10291;249;Verwaltungskreis Frutigen-Niedersimmental;2;2;77363;594691;631091;139997;174600;613900;157000;557;3694;1663;1640;2594691;2631091;1139997;1174600;2613900;1157000
10292;250;Verwaltungskreis Interlaken-Oberhasli;2;2;122931;623433;677745;147409;182848;649600;167300;556;4271;1906;1887;2623433;2677745;1147409;1182848;2649600;1167300
10293;2011;Bezirk Arbon;20;5;8907;736168;753596;260086;273958;739800;268300;394;598;447;441;2736168;2753596;1260086;1273958;2739800;1268300
10294;2012;Bezirk Frauenfeld;20;5;27961;692317;720577;262878;283504;708800;273900;368;721;485;467;2692317;2720577;1262878;1283504;2708800;1273900
10295;2013;Bezirk Kreuzlingen;20;5;12917;718781;741010;270413;281816;729200;276200;394;722;508;515;2718781;2741010;1270413;1281816;2729200;1276200
10296;2014;Bezirk Münchwilen;20;5;13819;708725;724914;248320;266561;715500;258600;422;991;601;579;2708725;2724914;1248320;1266561;2715500;1258600
10297;2015;Bezirk Weinfelden;20;5;22708;717314;741841;259769;276131;728600;267200;404;775;514;507;2717314;2741841;1259769;1276131;2728600;1267200
10298;311;Wahlkreis Luzern-Stadt;3;6;2910;658323;675205;205685;215024;664300;212000;419;1123;505;490;2658323;2675205;1205685;1215024;2664300;1212000
10299;312;Wahlkreis Luzern-Land;3;6;18758;652361;681764;201632;221523;659300;207500;403;2076;736;626;2652361;2681764;1201632;1221523;2659300;1207500
10300;313;Wahlkreis Hochdorf;3;6;17737;658917;673331;212970;237691;666100;223800;399;878;557;524;2658917;2673331;1212970;1237691;2666100;1223800
10301;314;Wahlkreis Sursee;3;6;27307;643581;661768;210498;234868;652600;216100;449;866;634;635;2643581;2661768;1210498;1234868;2652600;1216100
10302;315;Wahlkreis Willisau;3;6;33743;630128;648997;206022;236889;639400;221000;435;1402;671;646;2630128;2648997;1206022;1236889;2639400;1221000
10303;316;Wahlkreis Entlebuch;3;6;42459;631826;655295;180568;214777;643700;197200;509;2347;1109;1055;2631826;2655295;1180568;1214777;2643700;1197200
10307;1841;Region Albula;18;5;68351;756737;787565;141614;182239;769400;163400;720;3416;2091;2167;2756737;2787565;1141614;1182239;2769400;1163400
10308;1842;Region Bernina;18;5;23731;793642;811070;121818;146809;802300;133700;515;3899;2041;2115;2793642;2811070;1121818;1146809;2802300;1133700
10310;1844;Region Imboden;18;5;20380;735216;757142;180802;197720;746600;190200;556;3243;1537;1445;2735216;2757142;1180802;1197720;2746600;1190200
10311;1845;Region Landquart;18;5;17467;754561;768915;191829;214817;761600;203400;478;2804;1171;1051;2754561;2768915;1191829;1214817;2761600;1203400
10312;1846;Region Maloja;18;5;97357;755110;804059;128447;174706;783600;149600;665;4048;2392;2448;2755110;2804059;1128447;1174706;2783600;1149600
10313;1847;Region Moesa;18;5;49606;724447;743280;114569;154076;733800;134700;253;3281;1727;1803;2724447;2743280;1114569;1154076;2733800;1134700
10314;1848;Region Plessur;18;5;28530;753603;780693;177795;196888;766700;187400;537;2979;1713;1795;2753603;2780693;1177795;1196888;2766700;1187400
10315;1849;Region Prättigau / Davos;18;5;85340;763746;802712;171440;214786;783200;191100;561;3296;1908;1959;2763746;2802712;1171440;1214786;2783200;1191100
10316;1850;Region Surselva;18;5;137356;692838;748348;150436;194955;723000;172700;616;3612;1970;2028;2692838;2748348;1150436;1194955;2723000;1172700
10317;1851;Region Viamala;18;5;62759;722861;767117;138908;186521;750200;161300;600;3399;1960;2035;2722861;2767117;1138908;1186521;2750200;1161300
10318;1843;Region Engiadina Bassa / Val Müstair;18;5;119653;790566;833858;157707;209715;815400;181500;988;3408;2245;2308;2790566;2833858;1157707;1209715;2815400;1181500
10320;2400;Neuchâtel (CT);24;2;71674;523392;573330;188830;224027;548900;205800;421;1550;970;1036;2523392;2573330;1188830;1224027;2548900;1205800
